Filipino,English
bahagi,part
kasaysayan,history
hanapin,search
lamang,only
pulis,police
inisip,thought
tulong,help
hiling,request
uri,kind
buwan,month
kapatid,brother
pabayaang,let
dahil,because
ilagay,put
wala,no
tali,leash
sila,them
lungsod,city
bawat,each
nagsalita,speak
dumating,come
dapat,should
sanggol,baby
matagal,long time
oras,hours
pupunta,will
habang,while
muli,meet again
anumang,any
liwasan,square
magsalita,speak
naunawaan,understood
alam,knew
ay,were
babala,Warning
narito,here is
maaari,could
kaso,case
ibigay,give
uri,type
kanila,their
ibinigay,given
tren,train
katawan,body
pook,place
mata,eyes
paraan,way
makinig,listen
kanino,whose
hanapin,find
una,first
nawala,lost
kamay,hand
panig,side
kapangyarihan,power
matanda,old
maging,be
heto,here
umaga,morning
labis,so much
bata,child
tuldok,point
dumating,came
pagkatapos,after
paumanhin,sorry
hali,kumain
harap,in front of
patungo,towards
minuto,minutes
hiniling,request
silid,bedroom
inilagay,placed
maganda,beautiful
batas,law
nais,would like to
ngayon,today
asawa,husband
sanhi,cause
sa wakas,finally
asa,hope
tubig,water
hintay,Wait
umalis,left
balita,new
trabaho,job
tumigil,Stop
sabihin,would say
mundo,Earth
kwenta,account
ibinigay,given
malayo,far
wakas,end
maniwala,believe
giliw,sweetheart
malaki,large
higit,rather
magkakaroon,will have
dalaga,girls
maglaro,play
opisina,office
