Filipino,English
bahagi,part
kasaysayan,history
hanapin,search
pulis,police
inisip,thought
tulong,help
hiling,request
buwan,month
pabayaang,let
dahil,because
wala,no
tali,leash
bawat,each
dapat,should
matagal,long time
oras,hours
habang,while
anumang,any
liwasan,square
magsalita,speak
naunawaan,understood
babala,Warning
kaso,case
ibigay,give
ibinigay,given
tren,train
katawan,body
pook,place
paraan,way
hanapin,find
una,first
nawala,lost
kamay,hand
panig,side
kapangyarihan,power
matanda,old
heto,here
bata,child
pagkatapos,after
paumanhin,sorry
hali,kumain
harap,in front of
patungo,towards
hiniling,request
silid,bedroom
inilagay,placed
maganda,beautiful
batas,law
nais,would like to
sanhi,cause
sa wakas,finally
asa,hope
hintay,Wait
balita,new
trabaho,job
mundo,Earth
kwenta,account
ibinigay,given
wakas,end
maniwala,believe
giliw,sweetheart
malaki,large
magkakaroon,will have
dalaga,girls
maglaro,to play
opisina,office
